periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"0804 Telessaude";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
01/2026;qtd_aprovada;" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"110001 ALTA FLORESTA D'OESTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"110002 ARIQUEMES";32876;74;1664;39799;-;3420;811;185;293;-;54;-;2167;219;15;4916;101349;611;24;-;2372;-;206;-;-;-;396;-;13;490;1;3;2;-;-;-;-;-;12;-;-;12;26;-;-;-;-;-;-;63438;-;63;-;11363;-;-;133;-;-;-;267007
01/2026;qtd_aprovada;"110003 CABIXI";158;-;-;1695;-;88;-;-;-;-;-;-;1;-;-;59;2272;25;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1807;-;-;-;-;-;-;6118
01/2026;qtd_aprovada;"110004 CACOAL";9093;163;383;47888;-;566;735;2686;269;-;32;-;1501;-;16;361;79828;1046;546;1104;2051;7;60;11;-;-;1436;-;6;701;2;2;54;1;3;-;-;-;-;8;-;207;16;-;-;-;-;-;-;56514;-;51;-;-;-;-;-;-;-;-;207347
01/2026;qtd_aprovada;"110005 CEREJEIRAS";13932;-;400;4017;-;2066;173;148;-;-;-;-;119;-;-;1043;24129;363;19;-;-;-;117;-;-;-;45;-;3;-;-;-;5;-;-;-;-;-;33;-;-;13;-;-;-;-;-;-;-;-;-;-;-;8667;-;-;-;-;-;-;55292
01/2026;qtd_aprovada;"110006 COLORADO DO OESTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"110007 CORUMBIARA";5144;161;11;2238;-;170;89;-;-;-;-;-;22;-;-;167;6666;284;-;-;-;-;366;-;-;-;15;-;4;-;-;-;-;-;-;-;-;-;55;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2325;-;-;-;-;-;-;17717
01/2026;qtd_aprovada;"110008 COSTA MARQUES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"110009 ESPIGAO D'OESTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"110010 GUAJARA-MIRIM";-;-;-;-;-;-;-;130;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;130
01/2026;qtd_aprovada;"110011 JARU";-;98;-;29205;-;2669;658;2;95;-;19;-;466;-;-;757;70628;577;9;-;-;6;-;-;-;-;114;-;7;-;1;-;1;-;-;-;-;-;-;-;-;42;-;-;-;-;-;-;-;-;-;-;-;17191;-;-;-;-;-;-;122545
