periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
03/2024;qtd_aprovada;" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03/2024;qtd_aprovada;"110001 ALTA FLORESTA D'OESTE";162;194;3372;3056;-;886;105;-;-;-;-;-;45;-;-;189;14933;506;150;-;-;-;-;-;-;-;248;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7411;31257
03/2024;qtd_aprovada;"110002 ARIQUEMES";49290;280;6574;37121;-;2766;1590;1266;-;-;64;-;535;146;9;6358;105580;464;2;-;2176;-;2523;-;-;-;458;-;3;-;-;1;1;-;-;-;-;-;230;1;4;10;-;-;-;-;-;-;348;28;-;7840;225668
03/2024;qtd_aprovada;"110003 CABIXI";71;-;-;1746;-;149;-;-;-;-;-;-;2;-;34;35;6522;-;-;-;-;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;248;8824
03/2024;qtd_aprovada;"110004 CACOAL";463;166;1909;46897;-;1529;563;2059;227;-;12;-;1433;-;-;238;42413;1247;471;867;2047;7;54;-;167;-;1348;4;11;4;1;2;105;5;-;-;-;1;20;2;218;24;-;-;-;-;-;104706;-;69;-;3574;212863
03/2024;qtd_aprovada;"110005 CEREJEIRAS";2788;-;-;-;-;2030;31;-;-;-;-;-;48;-;-;70;15360;-;7;-;-;-;-;-;-;-;59;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20395
03/2024;qtd_aprovada;"110006 COLORADO DO OESTE";2379;57;-;-;-;357;110;-;-;-;-;-;25;-;-;72;13189;529;1;-;-;-;-;-;-;-;21;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1200;17941
03/2024;qtd_aprovada;"110007 CORUMBIARA";4890;152;41;508;-;-;52;-;-;-;-;-;33;-;-;422;10719;-;-;-;-;-;167;-;-;-;35;-;6;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;-;-;-;1564;18628
03/2024;qtd_aprovada;"110008 COSTA MARQUES";1685;207;-;5849;-;-;11;-;-;-;-;-;-;-;-;225;8864;164;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17007
03/2024;qtd_aprovada;"110009 ESPIGAO D'OESTE";891;89;1713;11953;-;-;131;-;-;-;-;-;29;-;-;-;32245;123;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;-;-;-;1392;48591
