periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
03/2025;qtd_aprovada;" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
03/2025;qtd_aprovada;"110001 ALTA FLORESTA D'OESTE";-;195;2930;2684;-;149;139;-;-;-;-;-;80;-;-;26;25597;1140;152;-;-;-;-;-;-;-;-;482;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13236;-;-;-;-;-;46810
03/2025;qtd_aprovada;"110002 ARIQUEMES";38256;208;49447;44058;-;3487;1443;1545;-;-;15;-;2932;217;5;5554;117171;413;-;-;2340;-;993;-;-;-;-;355;-;13;430;-;4;-;-;-;-;-;-;89;1;2;17;-;-;-;-;-;-;58168;642;45;-;10788;-;-;-;-;-;338638
03/2025;qtd_aprovada;"110003 CABIXI";155;-;-;2238;-;159;-;-;-;-;-;-;2;-;4;56;4164;57;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6855
03/2025;qtd_aprovada;"110004 CACOAL";428;184;1274;52891;-;2379;894;2210;200;-;19;-;850;-;-;462;41351;1818;312;1001;1925;12;77;-;43;-;-;1523;-;15;4;-;3;141;1;4;-;-;3;14;3;227;11;-;-;-;-;-;-;67837;668;36;-;12330;-;-;-;-;-;191150
03/2025;qtd_aprovada;"110005 CEREJEIRAS";14671;-;339;4187;-;1408;221;922;-;-;-;-;43;-;-;1051;28657;-;22;-;-;-;202;-;-;-;-;14;-;1;-;-;1;4;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;5198;-;-;-;-;-;56968
03/2025;qtd_aprovada;"110006 COLORADO DO OESTE";-;49;-;-;-;1035;148;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1233
03/2025;qtd_aprovada;"110007 CORUMBIARA";6054;215;6;2597;-;1;90;-;-;-;-;-;13;-;-;489;10206;211;-;-;-;-;302;-;-;-;-;32;-;1;-;-;-;-;-;-;-;-;-;52;-;-;-;-;-;-;-;-;-;-;-;-;-;1008;-;-;-;-;-;21277
03/2025;qtd_aprovada;"110008 COSTA MARQUES";1031;155;-;6306;-;-;44;-;-;-;-;-;-;-;-;161;6324;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14022
03/2025;qtd_aprovada;"110009 ESPIGAO D'OESTE";956;133;-;9925;-;1302;173;-;-;-;-;-;9;-;-;-;23673;656;7;-;-;-;-;-;-;-;-;76;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;6129;-;-;-;-;-;43062
