periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
05/2024;qtd_aprovada;" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
05/2024;qtd_aprovada;"110001 ALTA FLORESTA D'OESTE";62;241;2906;2675;-;1145;160;-;-;-;-;-;47;-;-;114;16025;508;159;-;-;-;-;-;-;178;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;80;-;-;8934;33234
05/2024;qtd_aprovada;"110002 ARIQUEMES";41452;253;1836;35197;-;475;1051;1370;-;-;24;-;1267;180;9;4738;98877;507;3;-;2307;-;3113;-;-;452;-;12;163;-;-;-;1;-;-;-;-;370;-;-;1;17;-;-;-;-;-;-;691;49;-;7777;202192
05/2024;qtd_aprovada;"110003 CABIXI";45;-;-;1299;-;81;-;-;-;-;-;-;1;-;3;30;5103;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1258;7833
05/2024;qtd_aprovada;"110004 CACOAL";335;162;1924;43726;-;1517;495;2146;206;-;32;-;885;-;-;265;45591;1933;588;881;2127;2;39;130;-;1444;-;15;-;-;1;131;22;-;-;4;3;11;-;-;268;17;-;-;-;-;-;99845;812;48;-;-;205605
05/2024;qtd_aprovada;"110005 CEREJEIRAS";1825;-;-;-;-;2170;44;-;-;-;-;-;52;-;-;29;13545;-;9;-;-;-;-;-;-;36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;120;17830
05/2024;qtd_aprovada;"110006 COLORADO DO OESTE";2205;41;-;-;-;1252;210;-;-;-;-;-;18;-;-;70;12837;568;1;-;-;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2558;19793
05/2024;qtd_aprovada;"110007 CORUMBIARA";7186;171;29;1272;-;-;53;-;-;-;-;-;54;-;-;305;10499;-;-;-;-;-;604;-;-;18;-;1;-;-;-;-;-;-;-;-;-;84;-;-;-;-;-;-;-;-;-;-;-;-;-;1791;22067
05/2024;qtd_aprovada;"110008 COSTA MARQUES";919;135;-;5100;-;-;2;-;-;-;-;-;-;-;-;191;5319;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11668
05/2024;qtd_aprovada;"110009 ESPIGAO D'OESTE";1355;89;1484;7254;-;-;177;-;-;-;-;-;11;-;-;-;34259;615;-;-;-;-;-;-;-;53;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;2189;47505
05/2024;qtd_aprovada;"110010 GUAJARA-MIRIM";-;88;-;2;-;1449;302;-;-;-;-;-;36;-;-;460;6703;593;-;-;-;-;-;-;-;11;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2972;12618
05/2024;qtd_aprovada;"110011 JARU";-;132;-;28112;-;3171;291;1;36;-;45;-;99;-;-;43;63033;140;2;-;-;6;-;-;-;171;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15265;110554
05/2024;qtd_aprovada;"110012 JI-PARANA";5717;-;37;44256;1380;5838;428;1452;534;-;193;-;546;-;-;2064;142270;-;18583;-;2136;52;-;5;-;723;-;8;-;-;-;-;-;-;-;-;7;-;-;-;231;23;-;-;-;-;-;-;1304;34;-;7171;234992
05/2024;qtd_aprovada;"110013 MACHADINHO D'OESTE";6529;42;3;11514;-;2135;132;-;-;-;-;-;199;-;22;1560;36175;-;-;-;-;-;-;-;-;139;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4;58457
05/2024;qtd_aprovada;"110014 NOVA BRASILANDIA D'OESTE";2378;82;200;281;-;319;128;-;-;-;-;-;11;-;-;191;10142;586;1;-;-;-;-;-;-;195;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;134;14651
05/2024;qtd_aprovada;"110015 OURO PRETO DO OESTE";-;2405;-;13201;-;497;455;-;-;-;-;1;374;-;-;177;27081;-;2;-;-;6;-;-;-;224;-;-;-;-;-;6;-;-;-;-;-;-;-;-;50;-;-;-;-;-;-;-;-;-;-;-;44479
