periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
05/2025;qtd_aprovada;" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
05/2025;qtd_aprovada;"110001 ALTA FLORESTA D'OESTE";49;164;4130;3614;-;1411;225;-;-;-;-;-;110;-;-;158;16583;653;143;-;-;-;-;-;-;-;337;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9554;-;-;-;-;-;37131
05/2025;qtd_aprovada;"110002 ARIQUEMES";45744;134;57920;46581;-;4172;2182;1952;-;-;-;-;6563;194;5;5430;139392;502;26;-;2395;-;1307;2;-;-;462;-;10;119;-;-;-;-;-;-;-;-;111;-;-;3;14;-;-;-;-;-;-;45521;663;44;-;10922;-;-;-;-;-;372370
05/2025;qtd_aprovada;"110003 CABIXI";165;-;-;1926;-;181;6;-;-;-;-;-;2;-;2;51;5163;64;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;978;-;-;-;-;-;8539
05/2025;qtd_aprovada;"110004 CACOAL";528;184;1313;54360;-;2203;1097;2468;363;-;40;-;1231;-;-;431;52212;3873;838;993;2007;12;202;779;-;-;1436;8;8;1;2;3;86;4;1;-;-;4;12;-;-;276;15;-;-;-;-;-;-;26828;309;48;-;7923;-;-;-;-;-;162098
05/2025;qtd_aprovada;"110005 CEREJEIRAS";11064;-;426;3702;-;-;185;848;-;-;-;-;-;-;-;863;14227;-;-;-;-;-;91;-;-;-;18;-;1;-;-;-;2;-;-;-;-;-;43;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5737;-;-;-;-;-;37207
05/2025;qtd_aprovada;"110006 COLORADO DO OESTE";378;58;-;1167;-;-;165;-;-;-;-;-;-;-;-;26;11443;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;665;-;-;-;-;-;13904
05/2025;qtd_aprovada;"110007 CORUMBIARA";8879;179;13;2204;-;1;98;-;-;-;-;-;11;-;-;299;11091;162;-;-;-;-;360;-;-;-;12;-;1;-;-;-;-;-;-;-;-;-;55;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1419;-;-;-;-;-;24784
05/2025;qtd_aprovada;"110008 COSTA MARQUES";1711;165;-;4973;-;-;1;-;-;-;-;-;1;-;-;237;14940;-;1;-;-;-;-;-;-;-;55;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22084
05/2025;qtd_aprovada;"110009 ESPIGAO D'OESTE";1245;127;-;15091;-;1291;155;-;-;-;-;-;28;-;-;-;38888;762;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1952;-;-;-;-;-;59563
05/2025;qtd_aprovada;"110010 GUAJARA-MIRIM";1124;158;-;1426;-;764;274;-;-;-;-;-;43;-;-;573;21713;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26079
05/2025;qtd_aprovada;"110011 JARU";-;156;9;30911;-;4031;773;-;35;-;76;-;246;-;-;215;99120;294;7;-;-;4;-;-;-;-;145;-;8;-;-;-;3;-;-;-;-;-;-;-;-;65;-;-;-;-;-;-;-;-;-;-;-;16710;-;-;-;-;-;152808
05/2025;qtd_aprovada;"110012 JI-PARANA";1217;1082;38;25064;360;8453;445;1385;570;-;54;-;455;-;-;1039;131253;-;36245;-;2135;32;-;2;-;-;2802;-;14;-;-;-;-;1;-;-;-;16;-;3;-;179;17;-;-;-;-;-;-;43764;3;27;-;6757;-;-;-;-;-;263412
