periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
07/2024;qtd_aprovada;" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
07/2024;qtd_aprovada;"110001 ALTA FLORESTA D'OESTE";68;405;1231;2956;-;1102;162;-;-;-;-;-;-;-;-;67;17663;628;143;-;-;-;-;-;-;-;342;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;60;-;-;9357;34184
07/2024;qtd_aprovada;"110002 ARIQUEMES";37797;161;39827;33460;-;846;736;1042;-;-;-;-;1113;204;8;4975;94662;457;-;-;2427;1;2106;-;-;-;387;-;3;161;-;-;-;1;-;-;-;-;254;-;-;-;15;-;-;-;-;-;7936;319;42;-;11668;240608
07/2024;qtd_aprovada;"110003 CABIXI";76;-;-;1239;-;168;-;-;-;-;-;-;12;-;-;49;5039;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1466;8072
07/2024;qtd_aprovada;"110004 CACOAL";352;15;1207;34504;-;2104;726;2073;277;-;46;-;852;-;-;489;42864;1986;462;923;2042;13;77;-;153;-;1150;-;16;5;-;7;142;3;-;-;1;2;24;1;-;163;10;-;-;-;-;-;-;640;39;-;5973;99341
07/2024;qtd_aprovada;"110005 CEREJEIRAS";2693;-;-;-;-;1966;57;120;-;-;-;-;53;-;-;31;13737;-;9;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;429;19115
07/2024;qtd_aprovada;"110006 COLORADO DO OESTE";1985;41;-;-;-;1343;245;-;-;-;-;-;10;-;-;56;11251;316;1;-;-;-;-;-;-;-;12;-;1;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3741;19005
07/2024;qtd_aprovada;"110007 CORUMBIARA";5464;80;91;2312;-;-;54;-;-;-;-;-;20;-;-;551;8679;-;-;-;-;-;359;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;80;-;-;-;-;-;-;-;-;-;-;-;-;-;1974;19692
07/2024;qtd_aprovada;"110008 COSTA MARQUES";-;124;-;5982;-;-;22;-;-;-;-;-;-;-;-;67;3785;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9980
07/2024;qtd_aprovada;"110009 ESPIGAO D'OESTE";884;70;1522;12659;-;-;189;-;-;-;-;-;16;-;-;-;26939;1783;-;-;-;-;-;-;-;-;91;-;-;-;-;-;-;-;-;-;-;-;-;-;-;46;-;-;-;-;-;-;-;-;-;-;2410;46609
