periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
08/2024;qtd_aprovada;" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
08/2024;qtd_aprovada;"110001 ALTA FLORESTA D'OESTE";193;144;3395;3124;-;1056;177;-;-;-;-;-;44;-;-;84;17876;350;138;-;-;-;-;-;-;235;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;8096;34952
08/2024;qtd_aprovada;"110002 ARIQUEMES";40272;91;47788;41070;-;2828;1316;1236;-;-;20;-;2898;180;7;5959;99244;487;1;-;2449;3;2538;-;-;365;-;4;276;-;-;-;-;-;-;-;-;176;4;2;15;-;-;-;-;-;-;49673;489;45;-;13518;312954
08/2024;qtd_aprovada;"110003 CABIXI";96;-;-;1323;-;139;-;-;-;-;-;-;3;-;-;38;3846;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2533;7991
08/2024;qtd_aprovada;"110004 CACOAL";698;368;797;44203;-;1685;456;2104;217;-;46;-;1091;-;-;392;42017;1926;179;944;2027;10;35;76;-;1219;-;15;1;-;3;147;7;-;1;-;7;15;1;181;19;-;-;-;-;-;-;39310;574;44;-;2717;143532
08/2024;qtd_aprovada;"110005 CEREJEIRAS";2586;-;-;-;-;1690;76;65;-;-;-;-;57;-;-;35;14009;-;9;-;-;-;-;-;-;30;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;493;19051
08/2024;qtd_aprovada;"110006 COLORADO DO OESTE";1914;34;-;5563;-;1192;96;-;-;-;-;-;26;-;-;59;12389;610;6;-;-;-;-;-;-;17;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1542;23449
08/2024;qtd_aprovada;"110007 CORUMBIARA";6081;117;37;2169;-;2;56;-;-;-;-;-;35;-;-;498;7835;-;-;-;-;-;466;-;-;15;-;-;-;-;-;-;-;-;-;-;-;67;-;-;-;-;-;-;-;-;-;-;-;-;-;2635;20013
08/2024;qtd_aprovada;"110008 COSTA MARQUES";-;68;-;5855;-;485;5;-;-;-;-;-;-;-;-;80;4324;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10817
08/2024;qtd_aprovada;"110009 ESPIGAO D'OESTE";772;115;-;12953;-;749;185;-;-;-;-;-;-;-;-;-;25619;924;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12157;53478
08/2024;qtd_aprovada;"110010 GUAJARA-MIRIM";526;48;-;699;-;454;141;-;-;-;-;-;12;-;-;613;6418;190;-;-;-;-;-;-;-;25;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3868;12995
08/2024;qtd_aprovada;"110011 JARU";-;114;-;33039;-;3457;539;-;30;-;-;-;145;-;-;126;76648;224;10;-;-;9;-;-;-;178;-;7;-;-;2;1;-;-;-;-;-;-;-;66;-;-;-;-;-;-;-;-;-;-;-;13323;127918
08/2024;qtd_aprovada;"110012 JI-PARANA";3786;-;36;45330;1047;1840;367;1369;1204;-;133;-;308;-;-;801;127332;131;20395;-;2073;29;2;2;-;817;-;14;-;-;-;-;1;1;-;-;6;-;8;155;18;-;-;-;-;-;-;163522;1438;20;-;7813;379998
08/2024;qtd_aprovada;"110013 MACHADINHO D'OESTE";3448;47;-;5271;-;1627;298;-;-;-;-;-;309;-;24;1672;33723;-;40;-;-;-;-;-;-;76;-;1;-;-;-;-;-;-;3;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1256;47796
08/2024;qtd_aprovada;"110014 NOVA BRASILANDIA D'OESTE";2525;37;12;17;-;237;28;-;-;-;-;-;9;-;-;228;10297;601;6;-;-;12;-;-;-;86;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;163;14258
08/2024;qtd_aprovada;"110015 OURO PRETO DO OESTE";-;1438;-;17127;-;612;422;-;-;-;-;-;99;-;-;159;27812;-;-;-;-;1;-;-;-;15;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47686
08/2024;qtd_aprovada;"110018 PIMENTA BUENO";417;53;-;9240;-;1288;367;-;-;-;-;-;271;-;-;188;27476;119;23;-;-;2;-;-;-;192;-;2;-;-;-;-;-;-;-;-;-;-;-;81;-;-;-;-;-;-;-;-;-;-;-;4558;44277
08/2024;qtd_aprovada;"110020 PORTO VELHO";12582;7662;17198;524847;8412;14158;4435;4232;560;216;348;2;17526;12898;299;25363;531824;6689;460;2714;4999;7291;1950;8650;-;5446;-;164;217;2;20;8;24;3;-;3;1;490;1;163;53;769;32;55;-;99;-;326507;5262;163;-;17624;1572421
08/2024;qtd_aprovada;"110025 PRESIDENTE MEDICI";-;170;-;2084;-;579;-;-;-;-;-;-;33;-;6;53;195;1149;4;-;-;-;-;-;-;166;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4445
