periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
08/2025;qtd_aprovada;" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
08/2025;qtd_aprovada;"110001 ALTA FLORESTA D'OESTE";120;82;2536;2211;-;5;159;-;-;-;-;-;82;-;-;68;17055;408;140;-;-;-;-;-;-;-;180;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11399;-;-;-;-;-;34445
08/2025;qtd_aprovada;"110002 ARIQUEMES";35748;136;6494;39620;-;3859;1363;1983;-;-;12;-;2703;170;10;5728;112750;767;2;-;2291;-;696;-;-;-;440;-;4;273;-;2;-;-;-;-;-;-;69;1;3;15;-;-;-;-;-;-;48281;722;45;-;14340;-;-;-;-;-;278527
08/2025;qtd_aprovada;"110003 CABIXI";154;-;-;2691;-;269;-;-;-;-;-;-;7;-;-;48;4565;33;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;802;-;-;-;-;-;8579
08/2025;qtd_aprovada;"110004 CACOAL";829;224;102;44844;-;2140;1273;2413;798;-;44;1;2996;-;-;205;64390;2803;1515;1028;2040;6;112;263;-;-;1444;-;15;639;1;9;82;3;1;-;-;2;-;2;238;16;-;-;-;-;-;-;67523;843;48;-;5017;-;-;-;-;-;203909
08/2025;qtd_aprovada;"110005 CEREJEIRAS";15524;-;447;4437;-;2997;189;799;-;-;-;-;56;-;-;653;23446;327;3;-;-;-;245;-;-;-;42;-;-;-;-;-;1;-;-;-;-;-;42;-;18;-;-;-;-;-;-;-;-;-;-;-;6776;-;-;-;-;-;56002
08/2025;qtd_aprovada;"110006 COLORADO DO OESTE";322;-;-;3417;-;1123;-;-;-;-;-;-;-;-;-;18;13176;-;20;-;-;-;-;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1596;-;-;-;-;-;19772
08/2025;qtd_aprovada;"110007 CORUMBIARA";5804;138;55;2546;-;8;97;-;-;-;-;-;30;-;-;307;7814;185;-;-;-;-;849;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;77;-;-;-;-;-;-;-;-;-;-;-;-;-;2552;-;-;-;-;-;20474
08/2025;qtd_aprovada;"110008 COSTA MARQUES";1085;106;-;7653;-;354;12;-;-;-;-;-;-;-;-;201;12959;-;1;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22377
08/2025;qtd_aprovada;"110009 ESPIGAO D'OESTE";1152;50;1486;12176;-;1272;132;-;-;-;-;-;26;-;-;-;28166;786;34;-;-;-;-;-;-;-;78;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;7135;-;-;-;-;-;52516
