periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
09/2024;qtd_aprovada;" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09/2024;qtd_aprovada;"110001 ALTA FLORESTA D'OESTE";65;297;3267;3058;-;1021;150;-;-;-;-;-;44;-;-;28;16467;200;146;-;-;-;-;-;-;-;471;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;-;-;8532;33846
09/2024;qtd_aprovada;"110002 ARIQUEMES";40235;68;45742;40467;-;2615;1215;1432;-;-;57;-;2418;238;6;5507;100728;592;1;-;2173;-;2101;-;-;-;361;-;1;341;-;-;-;-;-;-;-;-;145;-;6;19;-;-;-;-;-;-;68213;490;20;-;11739;326930
09/2024;qtd_aprovada;"110003 CABIXI";304;-;1;1550;-;208;-;-;-;-;-;-;7;-;-;62;3339;-;-;-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2443;7942
09/2024;qtd_aprovada;"110004 CACOAL";554;264;886;40561;-;2176;700;2287;189;-;52;-;920;-;-;322;44734;2413;336;976;1861;20;50;-;608;-;1159;-;11;-;2;5;140;5;2;-;-;1;17;1;161;15;-;-;-;-;-;-;67058;946;55;-;2343;171830
09/2024;qtd_aprovada;"110005 CEREJEIRAS";2195;-;-;-;-;703;67;165;-;-;-;-;69;-;-;37;12496;-;8;-;-;-;-;-;-;-;30;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;318;16089
09/2024;qtd_aprovada;"110006 COLORADO DO OESTE";2224;-;-;2601;-;1655;178;-;-;-;-;-;37;-;-;72;12917;738;1;-;-;-;-;-;-;-;16;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4574;25015
09/2024;qtd_aprovada;"110007 CORUMBIARA";6682;117;3;3174;-;-;-;-;-;-;-;-;23;-;-;398;8425;-;-;-;-;-;464;-;-;-;20;-;1;-;-;-;-;-;-;-;-;-;76;-;-;-;-;-;-;-;-;-;-;-;-;-;1479;20862
09/2024;qtd_aprovada;"110008 COSTA MARQUES";-;181;-;4822;-;222;31;-;-;-;-;-;-;-;-;109;4005;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9376
09/2024;qtd_aprovada;"110009 ESPIGAO D'OESTE";575;64;-;10296;-;1264;192;-;-;-;-;-;8;-;-;-;19166;94;-;-;-;-;-;-;-;-;171;-;-;-;-;-;-;-;-;-;-;-;-;-;76;-;-;-;-;-;-;-;-;-;-;-;2481;34387
09/2024;qtd_aprovada;"110010 GUAJARA-MIRIM";184;82;5;3098;-;1362;266;-;-;-;-;-;-;-;-;271;6961;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12235
09/2024;qtd_aprovada;"110011 JARU";-;43;-;31890;-;3501;609;-;27;-;141;-;211;-;-;123;63679;211;15;-;-;1;-;-;-;-;138;-;7;-;-;2;3;-;-;-;-;-;-;-;63;-;-;-;-;-;-;-;-;-;-;-;14183;114847
09/2024;qtd_aprovada;"110012 JI-PARANA";2498;-;42;71374;653;-;496;1606;1192;-;195;-;258;-;-;767;133771;38;1040;-;1932;10;13;-;1;-;553;-;7;-;-;-;-;1;-;-;-;7;-;1;130;10;-;-;-;-;-;-;154446;2;16;-;6688;377747
09/2024;qtd_aprovada;"110013 MACHADINHO D'OESTE";3748;20;-;2189;-;1692;229;-;-;-;-;-;192;-;24;2200;29948;-;68;-;3;-;-;-;-;2;117;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1659;42092
09/2024;qtd_aprovada;"110014 NOVA BRASILANDIA D'OESTE";2535;35;60;63;-;330;360;-;-;-;-;-;14;-;-;256;11361;620;5;-;-;2;-;-;-;-;85;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;15753
09/2024;qtd_aprovada;"110015 OURO PRETO DO OESTE";186;1345;-;16478;-;1304;508;-;-;-;-;-;182;-;-;169;31612;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;51791
09/2024;qtd_aprovada;"110018 PIMENTA BUENO";490;-;-;12869;-;1127;281;-;-;-;-;-;283;-;-;336;31006;174;60;-;-;-;-;-;-;-;274;-;14;-;-;-;-;-;-;-;-;-;-;-;109;-;-;-;-;-;-;-;-;-;-;-;5824;52847
