periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"0804 Telessaude";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
09/2025;qtd_aprovada;" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
09/2025;qtd_aprovada;"110001 ALTA FLORESTA D'OESTE";96;116;3291;3053;-;1314;192;-;-;-;-;-;95;-;-;16;18927;502;154;-;-;-;-;-;-;-;523;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11347;-;-;-;-;-;-;39626
09/2025;qtd_aprovada;"110002 ARIQUEMES";40279;81;53999;42165;-;4036;966;2307;-;-;8;-;1141;142;8;5361;121493;1209;27;-;2295;-;956;-;-;-;441;-;8;168;-;6;-;-;-;-;-;-;68;-;9;7;-;-;-;-;-;-;78022;714;25;-;16392;-;-;135;4;-;-;372472
09/2025;qtd_aprovada;"110003 CABIXI";193;-;-;2856;-;334;69;-;-;-;-;-;4;-;-;38;4477;34;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1608;-;-;-;-;-;-;9618
09/2025;qtd_aprovada;"110004 CACOAL";832;139;381;44610;-;1622;2629;2811;701;-;109;-;13878;-;-;512;47728;2144;1282;1057;2027;23;184;107;-;-;1507;3;21;570;-;12;86;2;1;-;-;-;12;1;289;10;-;-;-;-;-;-;87368;-;40;-;32941;-;-;-;-;-;-;245639
09/2025;qtd_aprovada;"110005 CEREJEIRAS";16575;5;390;4307;-;2027;203;721;-;-;-;-;86;-;-;842;24612;389;15;-;-;-;179;-;-;-;62;-;-;-;-;-;1;-;-;-;-;-;33;-;22;-;-;-;-;-;-;-;-;-;-;-;5895;-;-;-;-;-;-;56364
09/2025;qtd_aprovada;"110006 COLORADO DO OESTE";22;-;-;7163;-;993;288;-;-;-;-;-;247;-;-;160;20851;-;382;-;-;-;-;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2900;-;-;-;-;-;-;33106
09/2025;qtd_aprovada;"110007 CORUMBIARA";6521;64;173;2245;-;182;100;-;-;-;-;-;30;-;-;277;8658;298;-;-;-;-;825;-;-;-;61;-;4;-;-;-;-;-;-;-;-;-;54;-;-;-;-;-;-;-;-;-;-;-;-;-;2612;-;-;-;-;-;-;22104
09/2025;qtd_aprovada;"110008 COSTA MARQUES";1206;279;-;8767;-;233;42;-;-;-;-;-;-;-;-;230;13210;35;-;-;-;-;-;-;1;-;9;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24013
09/2025;qtd_aprovada;"110009 ESPIGAO D'OESTE";1281;65;1421;11209;-;1269;175;-;-;-;-;-;50;-;-;-;28038;1170;20;-;-;-;-;-;-;-;49;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;2982;-;-;-;-;-;-;47744
