periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0308 Tratamento de lesoes, envenenamentos e outros, decorrentes de causas externas";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
10/2024;qtd_aprovada;" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
10/2024;qtd_aprovada;"110001 ALTA FLORESTA D'OESTE";63;111;4245;3931;-;1219;180;-;-;-;-;-;71;-;-;30;20644;374;124;-;-;-;-;-;-;-;-;555;-;15;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8871;40446
10/2024;qtd_aprovada;"110002 ARIQUEMES";42077;62;50621;46912;-;3133;1563;1752;-;-;69;-;4003;181;5;5470;102774;309;1;-;2427;3;2791;-;-;-;-;521;-;2;380;-;-;-;-;-;-;-;-;179;-;3;10;-;-;-;-;-;-;81539;583;30;-;10291;357691
10/2024;qtd_aprovada;"110003 CABIXI";219;-;-;1697;-;219;-;-;-;-;-;-;10;-;-;56;3236;-;-;-;-;-;-;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;959;6429
10/2024;qtd_aprovada;"110004 CACOAL";824;396;1280;41089;-;2167;849;2172;150;-;19;-;1127;-;-;270;48975;2321;348;982;2037;4;-;-;266;-;-;1401;-;17;1;-;4;139;2;-;-;3;6;-;2;179;12;-;-;-;-;-;-;80820;128;39;-;6975;195004
10/2024;qtd_aprovada;"110005 CEREJEIRAS";2262;-;-;1;-;1306;76;162;-;-;-;-;59;-;-;25;11249;-;9;-;-;-;-;-;-;-;-;31;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;334;15519
10/2024;qtd_aprovada;"110006 COLORADO DO OESTE";2246;42;-;3051;-;1182;237;-;-;-;-;-;22;-;-;70;13683;370;2;-;-;-;-;-;-;-;-;32;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4085;25024
10/2024;qtd_aprovada;"110007 CORUMBIARA";8280;132;26;3091;-;3;32;-;-;-;-;-;19;-;-;553;8891;-;-;-;-;-;356;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;-;62;-;-;-;-;-;-;-;-;-;-;-;-;-;1562;23040
10/2024;qtd_aprovada;"110008 COSTA MARQUES";1253;72;-;6185;-;154;5;-;-;-;-;-;-;-;-;117;7067;-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;173;15029
10/2024;qtd_aprovada;"110009 ESPIGAO D'OESTE";1173;37;-;11013;-;1121;194;-;-;-;-;-;27;-;-;-;37640;1181;2;-;-;-;-;-;-;-;-;139;-;-;-;-;-;-;-;-;-;-;-;-;-;45;-;-;-;-;-;-;-;-;-;-;-;1360;53932
