periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
11/2024;qtd_aprovada;" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
11/2024;qtd_aprovada;"110001 ALTA FLORESTA D'OESTE";165;141;3486;3284;-;533;165;-;-;-;-;-;54;-;-;30;19585;599;147;-;-;-;-;-;-;-;421;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8800;37410
11/2024;qtd_aprovada;"110002 ARIQUEMES";39295;48;47763;42452;-;2877;1186;1733;-;-;60;-;2020;152;9;6669;100326;361;21;-;2413;-;2823;-;-;-;374;-;5;225;-;-;-;1;-;-;-;-;243;1;1;11;-;-;-;-;-;-;74211;539;33;-;10766;336618
11/2024;qtd_aprovada;"110003 CABIXI";170;-;-;1409;-;128;-;-;-;-;-;-;1;-;3;60;2605;-;-;-;-;-;-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1124;5524
11/2024;qtd_aprovada;"110004 CACOAL";932;536;75;41584;-;1391;705;1945;230;-;15;-;1088;-;-;352;44058;2625;332;980;1968;2;131;632;-;-;1340;-;12;1;2;3;151;4;1;-;5;2;28;-;177;10;-;-;-;-;-;-;76468;4;40;-;4417;182246
11/2024;qtd_aprovada;"110005 CEREJEIRAS";11583;-;134;3002;-;1317;62;67;-;-;-;-;46;-;-;807;18043;-;14;-;-;-;37;-;-;-;26;-;2;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;3692;38838
11/2024;qtd_aprovada;"110006 COLORADO DO OESTE";2165;-;-;1454;-;1399;202;-;-;-;-;-;25;-;-;64;12561;521;4;-;-;-;-;1;-;-;37;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;938;19374
11/2024;qtd_aprovada;"110007 CORUMBIARA";5812;122;7;2136;-;2;-;-;-;-;-;-;40;-;-;403;9549;-;-;-;-;-;272;-;-;-;31;-;1;-;-;-;-;-;-;-;-;-;50;-;1;-;-;-;-;-;-;-;-;-;-;-;1393;19819
11/2024;qtd_aprovada;"110008 COSTA MARQUES";944;98;-;5819;-;158;-;-;-;-;-;-;-;-;-;90;5718;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;690;13519
11/2024;qtd_aprovada;"110009 ESPIGAO D'OESTE";795;36;-;10138;-;935;151;-;-;-;-;-;25;-;-;-;29028;209;2;-;-;-;-;-;-;-;102;-;-;-;-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;-;-;1707;43167
