periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0803 Autorizacao / Regulacao";"0804 Telessaude";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
01/2026;valor_aprovado;" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;valor_aprovado;"110001 ALTA FLORESTA D'OESTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;valor_aprovado;"110002 ARIQUEMES";475,20;-;-;141228,35;-;33700,23;21409,85;20846,30;78743,75;-;2600,64;-;24864,52;3731,76;-;1759,00;343535,82;3209,53;15054,72;-;579486,77;-;107,71;-;11098,16;-;16,89;239249,83;20,74;36,81;70,40;-;-;-;-;-;-;-;267,24;4442,29;-;-;-;-;-;-;124042,76;-;9278,99;56246,85;-;-;23520,00;-;-;-;1739045,11
01/2026;valor_aprovado;"110003 CABIXI";-;-;-;4774,65;-;727,16;-;-;-;-;-;-;5,15;-;-;-;9137,90;116,75;-;-;-;-;-;-;324,00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8944,65;-;-;-;-;-;-;24030,26
01/2026;valor_aprovado;"110004 CACOAL";145,80;-;4753,39;221765,40;-;6611,48;22693,74;331785,86;72293,75;-;2284,96;-;13708,85;-;-;22,00;405058,42;5630,74;23452,92;990358,05;498905,02;56,63;339,00;31,70;43535,94;-;75,36;260855,86;41,48;24,54;1804,72;13,54;62,22;-;-;-;-;238,88;4161,33;2137,15;-;-;-;-;-;-;57482,08;-;1729,92;-;-;-;-;-;-;-;2972060,73
01/2026;valor_aprovado;"110005 CEREJEIRAS";-;-;-;11528,47;-;16916,45;4851,55;17101,87;-;-;-;-;612,85;-;-;260,00;64803,84;1760,73;376,93;-;-;-;7,44;-;938,42;-;5,63;-;-;-;142,10;-;-;-;-;-;-;-;289,51;-;-;-;-;-;-;-;-;-;-;43373,25;-;-;-;-;-;-;162969,04
01/2026;valor_aprovado;"110006 COLORADO DO OESTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;valor_aprovado;"110007 CORUMBIARA";-;-;-;6400,28;-;1331,64;2566,30;-;-;-;-;-;113,30;-;-;38,00;17994,34;1375,00;-;-;-;-;-;-;236,16;-;79,26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11508,75;-;-;-;-;-;-;41643,03
01/2026;valor_aprovado;"110008 COSTA MARQUES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;valor_aprovado;"110009 ESPIGAO D'OESTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;valor_aprovado;"110010 GUAJARA-MIRIM";-;-;-;-;-;-;-;14330,59;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14330,59
