periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0803 Autorizacao / Regulacao";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
06/2025;valor_aprovado;" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
06/2025;valor_aprovado;"110001 ALTA FLORESTA D'OESTE";-;-;-;13425,09;-;11549,47;4422,00;-;-;-;-;-;839,45;-;-;16,00;67983,71;2893,77;3645,01;-;-;-;-;-;99,68;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;64914,30;-;-;-;-;-;169788,48
06/2025;valor_aprovado;"110002 ARIQUEMES";1020,60;-;-;188357,92;-;31497,38;27746,69;189692,42;-;-;674,24;-;17870,56;3544,32;-;1425,00;408305,41;3464,90;11918,32;-;544333,27;-;193,54;-;11735,98;-;137,73;278206,18;-;24,54;-;-;-;-;33,97;-;98,64;59,72;15,15;2515,81;-;-;-;-;-;-;68094,50;8080,00;5851,50;60553,35;-;-;-;-;-;1865451,64
06/2025;valor_aprovado;"110003 CABIXI";-;-;-;3698,09;-;1363,34;-;-;-;-;-;-;5,15;-;-;-;12444,24;639,79;-;-;-;-;-;-;175,92;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5430,15;-;-;-;-;-;23756,68
06/2025;valor_aprovado;"110004 CACOAL";267,30;-;5082,05;238153,15;-;17153,66;36399,50;348821,38;214193,75;-;4440,12;-;12570,87;-;-;58,00;403900,68;17210,91;3849,03;887509,30;465126,39;88,99;573,46;373,54;40873,20;-;97,09;75,00;-;12,27;1499,58;-;-;-;-;31,28;44,64;-;3714,11;2200,39;-;-;-;-;-;-;49024,25;15284,60;2136,96;22458,15;-;-;-;-;-;2793223,60
06/2025;valor_aprovado;"110005 CEREJEIRAS";-;-;-;12864,19;-;26723,59;5029,20;28740,06;-;-;-;-;375,95;-;-;279,00;65660,57;381,80;133,92;-;-;-;-;-;982,74;-;26,42;-;-;-;85,26;-;-;-;-;-;-;-;244,97;-;-;-;-;-;-;-;-;-;-;31595,85;-;-;-;-;-;173123,52
06/2025;valor_aprovado;"110006 COLORADO DO OESTE";-;-;-;5694,39;-;-;-;-;-;-;-;-;-;-;-;-;15995,79;-;-;-;-;-;-;-;64,80;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;321,75;-;-;-;-;-;22076,73
06/2025;valor_aprovado;"110007 CORUMBIARA";-;-;-;7616,88;-;-;2599,85;-;-;-;-;-;56,65;-;-;90,00;18330,32;611,37;-;-;-;-;-;-;171,36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13909,50;-;-;-;-;-;43385,93
06/2025;valor_aprovado;"110008 COSTA MARQUES";-;-;-;22995,45;-;-;-;-;-;-;-;-;-;-;-;20,00;17925,32;-;-;-;-;-;-;-;97,20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41037,97
06/2025;valor_aprovado;"110009 ESPIGAO D'OESTE";-;-;-;32955,37;-;13831,96;3962,75;-;-;-;-;-;118,45;-;-;-;107560,37;4311,19;1006,32;-;-;-;-;-;1657,32;-;-;-;-;-;-;-;-;-;-;-;-;-;334,05;-;-;-;-;-;-;-;-;-;-;52221,15;-;-;-;-;-;217958,93
06/2025;valor_aprovado;"110010 GUAJARA-MIRIM";-;-;-;5173,76;-;10327,66;-;-;-;-;-;-;-;-;-;-;34802,69;-;-;-;-;-;-;-;11,84;-;-;-;-;-;-;-;-;-;-;-;-;-;22,27;-;-;-;-;-;-;-;-;-;-;108,90;-;-;-;-;-;50447,12
06/2025;valor_aprovado;"110011 JARU";-;-;-;104578,67;-;31675,53;21293,80;-;4568,75;-;3693,70;-;1044,31;-;-;56,00;271132,17;1456,64;229,33;-;-;8,09;-;-;520,90;-;124,30;-;-;-;-;-;-;-;54,97;-;-;-;868,53;-;-;-;-;-;-;-;-;-;-;83021,40;-;-;-;-;-;524327,09
