periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0803 Autorizacao / Regulacao";"Total"
07/2024;valor_aprovado;" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
07/2024;valor_aprovado;"110001 ALTA FLORESTA D'OESTE";-;-;-;12480,96;-;8964,55;4511,65;-;-;-;-;-;-;-;-;30,00;87130,37;3173,00;4539,63;-;-;-;-;-;908,69;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;810,00;-;58434,75;180983,60
07/2024;valor_aprovado;"110002 ARIQUEMES";1274,40;-;-;120802,44;-;7234,12;23303,92;118054,71;-;-;-;-;16315,07;3476,16;-;1545,00;289973,87;2386,19;-;-;597330,66;8,09;5,71;-;10918,80;-;-;111862,50;-;-;-;13,54;-;-;-;-;57,54;-;-;2579,05;-;-;-;-;-;21720,90;3561,30;5182,86;57756,60;1395363,43
07/2024;valor_aprovado;"110003 CABIXI";-;-;-;3664,36;-;1302,60;-;-;-;-;-;-;61,80;-;-;-;13518,63;-;-;-;-;-;-;-;621,32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7256,70;26425,41
07/2024;valor_aprovado;"110004 CACOAL";54,00;-;2639,91;148646,22;-;21339,07;23662,76;248681,03;74443,75;-;3122,54;-;5615,25;-;-;176,00;281551,26;10821,90;3976,10;729036,42;495631,16;105,17;302,96;183,00;35756,94;-;307,40;125,00;-;89,84;4285,39;113,44;-;-;54,97;62,56;195,34;29,86;3167,21;1158,10;-;-;-;-;-;-;7035,30;1322,88;29566,35;2133259,08
07/2024;valor_aprovado;"110005 CEREJEIRAS";-;-;-;-;-;16146,26;1719,30;13205,79;-;-;-;-;272,95;-;-;-;76697,05;-;243,98;-;-;-;-;-;583,32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2123,55;110992,20
07/2024;valor_aprovado;"110006 COLORADO DO OESTE";-;-;-;-;-;12376,22;7030,10;-;-;-;-;-;55,17;-;-;3,00;70454,32;1912,52;41,63;-;-;-;-;-;347,16;-;26,42;-;-;-;73,08;34,10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18517,95;110871,67
07/2024;valor_aprovado;"110007 CORUMBIARA";-;-;-;7016,61;-;-;1540,55;-;-;-;-;-;103,00;-;-;135,00;15621,79;-;-;-;-;-;-;-;800,88;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9771,30;34989,13
07/2024;valor_aprovado;"110008 COSTA MARQUES";-;-;-;18361,63;-;-;614,90;-;-;-;-;-;-;-;-;4,00;12738,20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31718,73
07/2024;valor_aprovado;"110009 ESPIGAO D'OESTE";-;-;-;33731,09;-;-;5316,30;-;-;-;-;-;82,40;-;-;-;104832,45;9374,93;-;-;-;-;-;-;2477,16;-;-;-;-;-;-;-;-;-;-;-;-;-;1024,42;-;-;-;-;-;-;-;-;-;37727,10;194565,85
