periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0803 Autorizacao / Regulacao";"Total"
08/2024;valor_aprovado;" MUNICIPIO IGNORADO - RO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
08/2024;valor_aprovado;"110001 ALTA FLORESTA D'OESTE";-;-;-;13059,68;-;9212,48;5053,40;-;-;-;-;-;226,60;-;-;38,00;82576,82;1802,50;4395,19;-;-;-;-;-;1242,29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;540,00;-;51955,20;170102,16
08/2024;valor_aprovado;"110002 ARIQUEMES";901,80;-;-;160933,34;-;27780,18;34326,76;143332,10;-;-;963,20;-;46163,47;3067,20;-;1603,00;315871,22;2455,73;22,21;-;601554,99;33,22;260,42;-;9719,20;-;11,26;199472,40;-;-;-;-;-;-;-;-;79,46;29,86;44,54;2410,67;-;-;-;-;-;-;57539,71;5357,50;4867,04;66914,10;1685714,58
08/2024;valor_aprovado;"110003 CABIXI";-;-;-;3839,88;-;1145,19;-;-;-;-;-;-;15,45;-;-;-;1352,26;-;-;-;-;-;-;-;391,40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12538,35;19282,53
08/2024;valor_aprovado;"110004 CACOAL";891,00;-;4041,01;171158,57;-;15221,08;17718,77;251283,42;58318,75;-;3960,02;-;8133,00;-;-;134,00;278900,78;10429,14;4358,40;790185,47;491761,58;80,90;227,22;73,51;37952,76;-;258,67;25,00;-;37,60;4448,73;439,42;-;19,79;-;218,96;198,08;29,86;3354,47;4648,92;-;-;-;-;-;-;25645,37;6097,80;1707,68;13449,15;2205408,88
08/2024;valor_aprovado;"110005 CEREJEIRAS";-;-;-;-;-;13589,37;2196,70;7221,56;-;-;-;-;293,55;-;-;-;73058,61;-;238,73;-;-;-;-;-;842,64;-;5,63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2440,35;99887,14
08/2024;valor_aprovado;"110006 COLORADO DO OESTE";-;-;-;17841,80;-;10252,51;2780,25;-;-;-;-;-;133,90;-;-;-;74146,17;3502,22;69,78;-;-;-;-;-;518,40;-;-;-;-;-;28,42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7632,90;116906,35
08/2024;valor_aprovado;"110007 CORUMBIARA";-;-;-;6736,05;-;-;1547,70;-;-;-;-;-;180,25;-;-;184,00;16533,30;-;-;-;-;-;-;-;361,60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13043,25;38586,15
08/2024;valor_aprovado;"110008 COSTA MARQUES";-;-;-;18311,77;-;3744,91;121,00;-;-;-;-;-;-;-;-;2,00;15259,47;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37439,15
08/2024;valor_aprovado;"110009 ESPIGAO D'OESTE";-;-;-;34231,26;-;6283,44;5260,75;-;-;-;-;-;-;-;-;-;94949,12;4887,96;-;-;-;-;-;3,08;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;84574,20;230189,81
08/2024;valor_aprovado;"110010 GUAJARA-MIRIM";-;-;-;2059,54;-;3602,92;4127,20;-;-;-;-;-;15,12;-;-;251,00;35814,66;981,38;-;-;-;-;-;-;148,20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19146,60;66146,62
08/2024;valor_aprovado;"110011 JARU";-;-;-;117468,88;-;27543,36;15738,80;-;8062,50;-;-;-;708,69;-;-;52,00;264106,86;1098,16;397,48;-;-;69,41;-;-;489,12;-;184,94;-;-;24,54;41,10;-;-;-;-;-;-;-;1469,82;-;-;-;-;-;-;-;-;-;-;65948,85;503404,51
08/2024;valor_aprovado;"110012 JI-PARANA";4730,40;-;-;228025,17;18716,07;20168,92;11095,70;156686,82;323575,00;-;7630,78;-;3441,62;-;-;71,00;665640,90;749,53;736961,90;-;506161,59;243,31;-;22,52;24199,68;-;332,20;-;-;-;-;22,62;20,74;-;-;-;-;238,88;3451,85;9686,86;-;-;-;-;-;-;148662,84;31459,60;1575,24;38674,35;2942246,09
08/2024;valor_aprovado;"110013 MACHADINHO D'OESTE";5,40;-;-;17515,27;-;13247,30;8339,10;-;-;-;-;-;1024,85;-;-;-;171002,77;-;225,78;-;-;-;-;-;2036,20;-;26,42;-;-;-;-;-;-;59,37;-;-;-;-;22,27;-;-;-;-;-;-;-;-;-;-;6217,20;219721,93
08/2024;valor_aprovado;"110014 NOVA BRASILANDIA D'OESTE";-;-;14,10;39,21;-;1849,11;677,60;-;-;-;-;-;46,35;-;-;60,00;29364,94;2930,99;8,64;-;-;204,48;-;-;46,32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;806,85;36048,59
08/2024;valor_aprovado;"110015 OURO PRETO DO OESTE";-;-;-;89655,35;-;4314,82;12206,15;-;-;-;-;-;509,85;-;-;-;98575,89;-;-;-;-;8,09;-;-;46,32;-;5,63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;205322,10
